yes,yes,yes,yes,did not answer,yes,did not answer,yes,understand
yes,yes,yes,yes,yes,yes,did not answer,yes,understand
yes,yes,yes,yes,yes,yes,yes,did not answer,apply
yes,yes,yes,yes,yes,yes,yes,yes,analyze
yes,yes,yes,yes,yes,yes,did not answer,yes,evaluate
yes,yes,yes,yes,yes,yes,did not answer,yes,create
yes,yes,yes,yes,yes,yes,did not answer,yes,remember
yes,yes,yes,yes,did not answer,yes,yes,yes,understand
yes,yes,yes,yes,yes,yes,yes,yes,apply
yes,yes,yes,yes,yes,did not answer,did not answer,did not answer,analyze
yes,yes,yes,yes,yes,yes,did not answer,did not answer,apply
yes,yes,yes,yes,did not answer,yes,yes,yes,create
yes,yes,yes,yes,did not answer,yes,yes,yes,remember
yes,yes,yes,yes,yes,yes,yes,yes,understand
yes,yes,yes,yes,yes,no,yes,yes,apply
yes,yes,yes,yes,yes,no,did not answer,yes,analyze
yes,yes,yes,yes,yes,yes,yes,yes,evaluate
yes,yes,yes,yes,yes,yes,yes,did not answer,create
yes,yes,yes,yes,did not answer,yes,did not answer,yes,remember
yes,yes,yes,yes,did not answer,yes,did not answer,yes,understand
yes,yes,yes,yes,yes,yes,yes,yes,analyze
yes,yes,yes,yes,yes,no,yes,yes,analyze
yes,yes,yes,yes,yes,no,did not answer,yes,evaluate
yes,yes,yes,yes,yes,yes,yes,yes,create
yes,yes,yes,yes,yes,yes,did not answer,yes,understand
yes,yes,yes,yes,yes,no,yes,maybe,analyze
yes,yes,yes,yes,yes,yes,yes,yes,apply
yes,yes,yes,yes,yes,no,yes,yes,evaluate
yes,yes,yes,yes,yes,no,did not answer,did not answer,evaluate
yes,yes,yes,more_or_less,yes,yes,yes,maybe,create
yes,yes,yes,yes,yes,yes,did not answer,yes,remember
yes,yes,yes,yes,yes,yes,yes,yes,understand
yes,yes,yes,yes,yes,yes,yes,yes,apply
yes,yes,yes,yes,yes,yes,did not answer,yes,analyze
yes,yes,yes,yes,yes,yes,did not answer,yes,evaluate
yes,did not answer,yes,yes,yes,yes,did not answer,yes,create
yes,yes,yes,yes,yes,yes,did not answer,yes,remember
yes,yes,yes,yes,did not answer,yes,did not answer,yes,understand
yes,yes,yes,yes,yes,yes,yes,did not answer,apply
yes,yes,yes,yes,yes,yes,yes,did not answer,analyze
yes,yes,yes,yes,yes,yes,did not answer,yes,apply
yes,yes,yes,yes,yes,yes,did not answer,did not answer,create
yes,yes,yes,yes,yes,yes,did not answer,yes,remember
yes,yes,yes,yes,yes,yes,yes,yes,understand
yes,yes,yes,yes,yes,yes,did not answer,yes,apply
yes,yes,yes,yes,yes,no,yes,did not answer,analyze
yes,yes,yes,yes,did not answer,yes,did not answer,yes,analyze
yes,yes,yes,yes,yes,yes,yes,did not answer,create
yes,did not answer,did not answer,yes,yes,yes,did not answer,yes,remember
yes,did not answer,no,yes,did not answer,yes,yes,maybe,analyze
yes,yes,yes,yes,yes,yes,did not answer,yes,apply
yes,yes,yes,yes,yes,no,yes,yes,analyze
yes,yes,yes,yes,yes,yes,yes,yes,evaluate
yes,no,yes,yes,yes,yes,did not answer,maybe,create
yes,yes,yes,yes,yes,yes,yes,yes,remember
yes,yes,yes,yes,yes,yes,yes,yes,understand
yes,yes,yes,yes,yes,yes,did not answer,did not answer,apply
yes,yes,yes,yes,yes,no,did not answer,yes,analyze
yes,did not answer,yes,yes,yes,yes,did not answer,yes,evaluate
yes,yes,yes,yes,yes,yes,yes,yes,create
yes,yes,yes,yes,yes,yes,yes,yes,remember
yes,yes,yes,yes,did not answer,yes,yes,did not answer,understand
yes,yes,yes,yes,yes,yes,did not answer,yes,apply
yes,yes,yes,yes,yes,did not answer,yes,did not answer,analyze
yes,yes,did not answer,yes,yes,yes,yes,yes,evaluate
yes,yes,yes,yes,yes,yes,yes,did not answer,create
yes,did not answer,yes,yes,yes,yes,did not answer,did not answer,understand
yes,yes,yes,yes,yes,yes,yes,did not answer,understand
yes,yes,yes,yes,yes,did not answer,did not answer,did not answer,apply
yes,yes,yes,yes,yes,did not answer,yes,yes,analyze
yes,yes,yes,yes,yes,yes,did not answer,yes,evaluate
yes,yes,yes,yes,yes,yes,yes,maybe,create
yes,yes,yes,yes,no,yes,yes,yes,remember
yes,yes,yes,yes,yes,yes,yes,yes,understand
yes,yes,yes,yes,yes,yes,yes,yes,apply
yes,yes,yes,yes,yes,yes,did not answer,yes,analyze
yes,did not answer,yes,yes,yes,yes,did not answer,yes,apply
yes,yes,yes,yes,yes,yes,yes,yes,create
yes,yes,yes,yes,did not answer,yes,did not answer,no,remember
yes,yes,yes,yes,did not answer,yes,did not answer,yes,did not answer
yes,yes,yes,yes,yes,yes,yes,yes,apply
yes,yes,yes,did not answer,yes,yes,yes,did not answer,analyze
yes,did not answer,yes,yes,yes,yes,did not answer,yes,evaluate
yes,yes,yes,yes,yes,yes,did not answer,did not answer,create
yes,yes,no,yes,yes,yes,yes,yes,understand
yes,yes,yes,yes,did not answer,yes,yes,yes,understand
yes,yes,yes,yes,yes,yes,yes,yes,apply
yes,yes,yes,yes,yes,yes,yes,yes,evaluate
yes,yes,yes,yes,yes,no,did not answer,yes,evaluate
